ID_Code,Group,Credits_feeling_Self,Credits_feeling_Other,Self_K,Other_K,self_k_minus_other_k,other_k_minus_self
101,1,5.5,5,0.07,0.10,-0.03,0.03
102,1,6.1,5.1,0.07,0.08,-0.01,0.01
103,1,6,6,0.02,0.02,0.00,0.00
104,1,8.6,9,0.04,0.06,-0.02,0.02
105,1,6,6,0.50,0.50,0.00,0.00
107,1,7.9,4.4,0.00,0.05,-0.05,0.05
108,1,7,7,0.13,0.13,0.00,0.00
109,1,7.8,5.9,0.05,0.06,-0.01,0.01
112,1,9,8.7,0.12,0.19,-0.07,0.07
113,1,6.9,7,0.05,0.07,-0.02,0.02
114,1,7.1,5.9,0.08,0.11,-0.02,0.02
115,1,7,8.1,0.05,0.15,-0.10,0.10
116,1,8.9,0,0.09,1.50,-1.41,1.41
117,1,8.4,7.7,0.06,0.17,-0.11,0.11
119,1,4.4,6.8,0.42,0.51,-0.10,0.10
120,1,6.8,5,0.00,0.18,-0.18,0.18
121,1,8,8,0.10,0.16,-0.07,0.07
122,1,7,6,0.10,0.12,-0.02,0.02
123,1,7.2,4.2,0.06,0.34,-0.28,0.28
124,1,9,9,0.02,0.02,0.00,0.00
125,1,9,9,0.02,0.02,0.00,0.00
126,1,5.6,6.1,0.14,0.17,-0.03,0.03
127,1,8.9,9,0.06,0.10,-0.04,0.04
128,1,6,7.1,0.06,0.10,-0.03,0.03
129,1,8.1,6.1,0.09,0.17,-0.08,0.08
130,1,8.1,8.2,0.09,0.09,0.01,-0.01
131,1,2.1,9,0.21,0.09,0.12,-0.12
132,1,8,8.1,0.09,0.11,-0.02,0.02
133,1,6,8.1,0.10,0.08,0.02,-0.02
134,1,8.1,7,0.00,0.11,-0.11,0.11
135,1,7.2,7.8,0.12,0.19,-0.07,0.07
136,1,9,7.1,0.05,0.09,-0.04,0.04
137,1,8,6.6,0.17,0.30,-0.13,0.13
138,1,7.8,7,0.00,0.69,-0.69,0.69
139,1,8.9,8.1,0.02,0.02,0.00,0.00
140,1,9,8.5,0.00,0.14,-0.14,0.14
141,1,6,8,0.13,0.12,0.00,0.00
142,1,6,6,0.07,0.31,-0.24,0.24
143,1,8.9,7.8,0.02,0.09,-0.07,0.07
144,1,7,8.1,0.14,0.11,0.03,-0.03
145,1,8,6,0.10,0.12,-0.02,0.02
146,1,8.1,8,0.08,0.08,0.00,0.00
147,1,7.5,7.4,0.12,0.14,-0.02,0.02
148,1,7.1,7,0.14,0.16,-0.03,0.03
149,1,7,6.1,0.02,0.29,-0.27,0.27
150,1,8,8.1,0.02,0.07,-0.05,0.05
151,1,6.1,6.5,0.06,0.17,-0.11,0.11
102DW,1,8.1,5.4,0.09,0.47,-0.39,0.39
103DK,1,9,9,0.14,0.16,-0.02,0.02
104DD,1,9,8.1,0.06,0.07,-0.01,0.01
105VL,1,8.3,7.3,0.10,0.13,-0.04,0.04
106JH,1,6.1,7.4,0.13,0.15,-0.01,0.01
107AP,1,5.6,5.2,0.11,0.11,0.00,0.00
108PB,1,9,5.1,0.00,0.20,-0.20,0.20
109AC,1,8,7.1,0.07,0.21,-0.15,0.15
110PC,1,8.6,7.6,0.04,0.11,-0.07,0.07
111OH,1,9,8.5,0.01,0.02,-0.01,0.01
112LS,1,7.3,6.2,0.08,0.23,-0.14,0.14
113AM,1,5.9,3.1,0.00,0.36,-0.36,0.36
114CO,1,9,7.1,0.18,0.17,0.01,-0.01
115AB,1,6.7,6.4,0.24,0.28,-0.05,0.05
116EL,1,8.1,7.9,0.07,0.09,-0.01,0.01
118HB,1,8.8,7.5,0.11,0.26,-0.15,0.15
119PP,1,6,6.3,0.15,0.42,-0.27,0.27
120GP,1,5.1,5.1,0.03,0.11,-0.08,0.08
122CS,1,7.3,8,0.00,0.12,-0.12,0.12
123VD,1,4.6,4.5,0.08,0.15,-0.08,0.08
124SA,1,8.1,8.3,0.23,0.26,-0.03,0.03
125RD,1,9,9,0.01,0.23,-0.22,0.22
126GN,1,6,4.6,0.13,0.21,-0.08,0.08
127AB,1,7,6.1,0.00,1.46,-1.46,1.46
128NF,1,5.6,6.4,0.15,0.16,-0.01,0.01
130ER,1,9,6.5,0.00,0.21,-0.21,0.21
131AB,1,9,3.3,0.13,0.84,-0.72,0.72
132JL,1,5,4.5,0.03,0.05,-0.02,0.02
133AE,1,8.1,9,0.06,0.08,-0.02,0.02
134JB,1,9,8.8,0.00,0.00,0.00,0.00
135AB,1,9,8.1,0.08,0.09,-0.01,0.01
136SN,1,6,6.6,0.20,0.27,-0.07,0.07
138HP,1,7.8,4.3,0.00,0.23,-0.23,0.23
139LB,1,7,7,0.04,0.24,-0.20,0.20
140SH,1,8.3,5.8,0.08,0.24,-0.16,0.16
141JD,1,7.2,7.3,0.06,0.16,-0.11,0.11
142IA,1,6.2,7.5,0.06,0.07,-0.02,0.02
143SR,1,9,9,0.00,0.00,0.00,0.00
144CB,1,6,5.3,0.00,0.11,-0.11,0.11
145PD,1,7,7.6,0.05,0.11,-0.06,0.06
146SW,1,5.7,5.3,0.06,0.08,-0.01,0.01
147LF,1,8,8,0.06,0.17,-0.11,0.11
148RD,1,7.1,8.1,0.02,1.50,-1.48,1.48
149LM,1,8.2,8,0.04,0.07,-0.03,0.03
150AB,1,5.8,4.7,0.02,0.12,-0.11,0.11
151ID,1,8.1,6.3,0.07,0.10,-0.03,0.03
152RF,1,7.2,5.2,0.11,0.44,-0.33,0.33
153MB,1,9,5,0.09,0.16,-0.07,0.07
201JP,2,9,8.8,0.04,0.07,-0.03,0.03
201JM,2,8.1,8,0.42,0.21,0.21,-0.21
202,2,7.1,6.3,0.13,0.21,-0.08,0.08
203,2,8.2,8,0.05,0.11,-0.06,0.06
204,2,8.1,4,0.06,0.13,-0.07,0.07
205,2,4.6,4.6,0.02,0.02,0.00,0.00
206,2,8,8,0.00,0.00,0.00,0.00
207,2,7.1,7.1,0.02,0.53,-0.50,0.50
208,2,7.1,7,0.06,0.05,0.01,-0.01
209,2,7.9,6,0.00,0.19,-0.19,0.19
210,2,8.9,8,0.04,0.08,-0.05,0.05
211,2,8.1,8.1,0.00,0.07,-0.07,0.07
212,2,6,6,0.06,0.08,-0.02,0.02
213,2,6.3,6.9,0.15,0.16,-0.01,0.01
214,2,8,3,0.00,0.37,-0.37,0.37
215,2,6.9,7.2,0.00,0.08,-0.08,0.08
216,2,7.1,8.9,0.00,0.09,-0.09,0.09
217,2,6,5,0.07,0.36,-0.30,0.30
218,2,6.1,6,0.04,0.06,-0.02,0.02
219,2,9,9,0.02,0.02,0.00,0.00
221,2,6.9,3.9,0.04,1.50,-1.46,1.46
222,2,7.6,6.6,0.00,0.07,-0.07,0.07
223,2,7.1,7,0.05,0.08,-0.03,0.03
224,2,7,7.1,0.03,0.06,-0.03,0.03
225,2,7.2,8.1,0.02,0.05,-0.04,0.04
226,2,9,8.9,0.02,0.02,0.00,0.00
227,2,7,8.1,0.08,0.10,-0.02,0.02
228,2,9,9,0.02,0.02,0.00,0.00
229,2,7,8,0.16,0.31,-0.15,0.15
230,2,8.9,8.9,0.17,0.20,-0.03,0.03
231,2,4.6,4.7,0.00,0.04,-0.04,0.04
232,2,8.1,8.1,0.02,0.02,0.00,0.00
233,2,8,7.1,0.04,0.29,-0.26,0.26
234,2,8,7,0.09,0.13,-0.04,0.04
235,2,5.1,5,0.08,0.09,-0.02,0.02
236,2,8.6,8.3,0.06,0.15,-0.09,0.09
237,2,7.1,7,0.00,0.08,-0.08,0.08
238,2,8.1,8,0.35,0.39,-0.03,0.03
239,2,9,9,0.08,0.15,-0.07,0.07
240,2,5,5,0.00,0.00,0.00,0.00
241,2,7.4,7.4,0.02,0.02,0.00,0.00
242,2,6,8,0.07,0.03,0.04,-0.04
243,2,8.1,8.1,0.07,0.14,-0.07,0.07
244,2,9,9,0.17,0.17,0.00,0.00
245,2,8.2,7.1,0.02,0.15,-0.14,0.14
246,2,7,6.6,0.05,0.11,-0.07,0.07
247,2,7,7,0.05,0.14,-0.09,0.09
248,2,5,5,0.02,0.02,0.00,0.00
249,2,9,7.1,0.00,0.00,0.00,0.00
202_HC,2,8,8,0.06,0.09,-0.03,0.03
203_HC,2,9,9,0.02,0.02,0.00,0.00
204_HC,2,9,9,0.02,0.02,0.00,0.00
205_HC,2,9,8.9,0.27,0.33,-0.06,0.06
206_HC,2,7,7,0.00,0.12,-0.12,0.12
207_HC,2,5,5,0.00,0.00,0.00,0.00
208_HC,2,9,9,0.05,0.00,0.05,-0.05
209_HC,2,7.1,7.1,0.00,0.00,0.00,0.00
210_HC,2,8,8.1,0.00,0.00,0.00,0.00
211_HC,2,6.1,6,0.00,0.01,-0.01,0.01
212_HC,2,9,9,0.02,0.02,0.00,0.00
213_HC,2,3.4,7.1,0.00,0.01,-0.01,0.01
214_HC,2,4.9,4.5,0.10,0.15,-0.05,0.05
215_HC,2,7.1,7,0.04,0.11,-0.07,0.07
216_HC,2,6,6.1,0.02,0.02,0.00,0.00
217_HC,2,8.2,7.2,0.10,0.11,0.00,0.00
218_HC,2,9,9,0.05,0.06,-0.02,0.02
219_HC,2,9,9,0.02,0.03,-0.01,0.01
220_HC,2,6.1,6.1,0.05,0.06,0.00,0.00
221_HC,2,9,8,0.02,0.11,-0.09,0.09
222_HC,2,8,8.1,0.00,0.00,0.00,0.00
223_HC,2,8.9,9,0.02,0.02,0.00,0.00
224_HC,2,8.1,8,0.06,0.06,0.00,0.00
225_HC,2,7,5,0.00,0.05,-0.05,0.05
226_HC,2,7.2,5.4,0.06,0.06,0.00,0.00
227_HC,2,7.9,7.7,0.03,0.06,-0.03,0.03
228_HC,2,8.1,8.1,0.07,0.07,0.00,0.00
229_HC,2,7.6,7.5,0.08,0.08,0.00,0.00
230_HC,2,8,8,0.06,0.07,-0.01,0.01
231_HC,2,8,8,0.07,0.09,-0.02,0.02
232_HC,2,6.3,6.6,0.09,0.10,-0.01,0.01
233_HC,2,7.1,4.9,0.09,0.16,-0.07,0.07
234_HC,2,7.9,7.1,0.01,0.00,0.01,-0.01
235_HC,2,8.1,6,0.03,0.14,-0.11,0.11
236_HC,2,7,6,0.06,0.10,-0.05,0.05
237_HC,2,9,9,0.00,0.00,0.00,0.00
238_HC,2,6.2,6.2,0.02,0.02,0.00,0.00
239_HC,2,8.1,4,0.00,0.66,-0.66,0.66
240_HC,2,6,6,0.12,0.15,-0.03,0.03
241_HC,2,6,6.1,0.04,0.05,-0.01,0.01
242_HC,2,8.9,8.1,0.07,0.08,-0.01,0.01
243_HC,2,8.1,8.1,0.08,0.09,-0.01,0.01